"time","Resources","Economy","Bureaucracy","Pollution","inflow","outflow1"
7.57,1,0.1,0.01,0.001,0.0995,0.0995
7.58,1,0.1,0.01,0.001,0.0995,0.0995
7.59,1,0.1,0.01,0.001,0.0995,0.0995
7.6,1,0.1,0.01,0.001,0.0995,0.0995
7.61,1,0.1,0.01,0.001,0.0995,0.0995
7.62,1,0.1,0.01,0.001,0.0995,0.0995
7.63,1,0.1,0.01,0.001,0.0995,0.0995
7.64,1,0.1,0.01,0.001,0.0995,0.0995
7.65,1,0.1,0.01,0.001,0.0995,0.0995
7.66,1,0.1,0.01,0.001,0.0995,0.0995
7.67,1,0.1,0.01,0.001,0.0995,0.0995
7.68,1,0.1,0.01,0.001,0.0995,0.0995
7.69,1,0.1,0.01,0.001,0.0995,0.0995
7.7,1,0.1,0.01,0.001,0.0995,0.0995
7.71,1,0.1,0.01,0.001,0.0995,0.0995
7.72,1,0.1,0.01,0.001,0.0995,0.0995
7.73,1,0.1,0.01,0.001,0.0995,0.0995
7.74,1,0.1,0.01,0.001,0.0995,0.0995
7.75,1,0.1,0.01,0.001,0.0995,0.0995
7.76,1,0.1,0.01,0.001,0.0995,0.0995
7.77,1,0.1,0.01,0.001,0.0995,0.0995
7.78,1,0.1,0.01,0.001,0.0995,0.0995
7.79,1,0.1,0.01,0.001,0.0995,0.0995
7.8,1,0.1,0.01,0.001,0.0995,0.0995
7.81,1,0.1,0.01,0.001,0.0995,0.0995
7.82,1,0.1,0.01,0.001,0.0995,0.0995
7.83,1,0.1,0.01,0.001,0.0995,0.0995
7.84,1,0.1,0.01,0.001,0.0995,0.0995
7.85,1,0.1,0.01,0.001,0.0995,0.0995
7.86,1,0.1,0.01,0.001,0.0995,0.0995
7.87,1,0.1,0.01,0.001,0.0995,0.0995
7.88,1,0.1,0.01,0.001,0.0995,0.0995
7.89,1,0.1,0.01,0.001,0.0995,0.0995
7.9,1,0.1,0.01,0.001,0.0995,0.0995
7.91,1,0.1,0.01,0.001,0.0995,0.0995
7.92,1,0.1,0.01,0.001,0.0995,0.0995
7.93,1,0.1,0.01,0.001,0.0995,0.0995
7.94,1,0.1,0.01,0.001,0.0995,0.0995
7.95,1,0.1,0.01,0.001,0.0995,0.0995
7.96,1,0.1,0.01,0.001,0.0995,0.0995
7.97,1,0.1,0.01,0.001,0.0995,0.0995
7.98,1,0.1,0.01,0.001,0.0995,0.0995
7.99,1,0.1,0.01,0.001,0.0995,0.0995
8,1,0.1,0.01,0.001,0.0995,0.0995
8.01,1,0.1,0.01,0.001,0.0995,0.0995
8.02,1,0.1,0.01,0.001,0.0995,0.0995
8.03,1,0.1,0.01,0.001,0.0995,0.0995
8.04,1,0.1,0.01,0.001,0.0995,0.0995
8.05,1,0.1,0.01,0.001,0.0995,0.0995
8.06,1,0.1,0.01,0.001,0.0995,0.0995
8.07,1,0.1,0.01,0.001,0.0995,0.0995
8.08,1,0.1,0.01,0.001,0.0995,0.0995
8.09,1,0.1,0.01,0.001,0.0995,0.0995
8.1,1,0.1,0.01,0.001,0.0995,0.0995
8.11,1,0.1,0.01,0.001,0.0995,0.0995
8.12,1,0.1,0.01,0.001,0.0995,0.0995
8.13,1,0.1,0.01,0.001,0.0995,0.0995
8.14,1,0.1,0.01,0.001,0.0995,0.0995
